Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 27,boxscore,CHW,,LAA,W,8,1,,1-0,1,Tied,Burke,Kikuchi,,2:21,D,31403,.95,+,
2,Saturday Mar 29,boxscore,CHW,,LAA,L,0,1,,1-1,1,Tied,Soriano,Clevinger,Jansen,2:19,D,20602,.97,-,
3,Sunday Mar 30,boxscore,CHW,,LAA,L,2,3,,1-2,2,1.0,Joyce,Booser,Jansen,2:15,D,19591,.94,--,
4,Monday Mar 31,boxscore,CHW,,MIN,W,9,0,,2-2,1,Tied,Pérez,Paddack,,2:28,D,10423,.94,+,
5,Tuesday Apr 1,boxscore,CHW,,MIN,L,3,8,,2-3,1,Tied,Varland,Murfee,,2:54,N,12089,.95,-,
6,Wednesday Apr 2,boxscore,CHW,,MIN,L,1,6,,2-4,1,Tied,López,Burke,,2:17,D,10193,.95,--,
7,Friday Apr 4,boxscore,CHW,@,DET,L,4,7,,2-5,4,1.0,Flaherty,Cannon,,2:59,D,44735,.95,---,
8,Saturday Apr 5,boxscore,CHW,@,DET,L,2,7,,2-6,5,2.0,Olson,Martin,,2:17,D,26098,.83,----,
9,Sunday Apr 6,boxscore,CHW,@,DET,L-wo,3,4,,2-7,5,3.0,Brebbia,Ellard,,2:37,D,20981,.83,-----,
10,Tuesday Apr 8,boxscore,CHW,@,CLE,L-wo,0,1,,2-8,5,4.5,Clase,Clevinger,,2:30,D,33722,.76,------,
11,Wednesday Apr 9,boxscore,CHW,@,CLE,L,2,3,,2-9,5,4.5,Sewald,Burke,Clase,2:37,N,12997,.74,-------,
12,Thursday Apr 10,boxscore,CHW,@,CLE,L,1,6,,2-10,5,5.0,Williams,Cannon,,2:27,D,12663,.69,--------,
13,Friday Apr 11,boxscore,CHW,,BOS,W,11,1,,3-10,5,5.0,Martin,Newcomb,,2:46,N,13432,.60,+,
14,Saturday Apr 12,boxscore,CHW,,BOS,W-wo,3,2,,4-10,4,5.0,Gilbert,Chapman,,2:46,D,30423,.65,++,
15,Sunday Apr 13,boxscore,CHW,,BOS,L,1,3,,4-11,5,5.0,Crochet,Smith,Chapman,2:20,D,18840,.68,-,
16,Tuesday Apr 15,boxscore,CHW,,ATH,L,3,12,,4-12,5,5.5,Springs,Burke,Spence,2:37,N,10673,.63,--,
17,Wednesday Apr 16,boxscore,CHW,,ATH,L,1,3,,4-13,5,5.5,Bido,Gilbert,Miller,2:47,N,10411,.55,---,
18,Thursday Apr 17,boxscore,CHW,,ATH,L,0,8,,4-14,5,6.5,Sears,Martin,,2:35,D,10560,.54,----,
19,Friday Apr 18,boxscore,CHW,@,BOS,L,3,10,,4-15,5,7.5,Dobbins,Pérez,,2:22,N,35620,.49,-----,
20,Saturday Apr 19,boxscore,CHW,@,BOS,L-wo,3,4,10,4-16,5,8.5,Whitlock,Vasil,,2:59,D,36559,.41,------,
21,Sunday Apr 20,boxscore,CHW,@,BOS,W,8,4,,5-16,5,7.5,Eisert,Kelly,,2:46,D,32632,.38,+,
22,Monday Apr 21,boxscore,CHW,@,BOS,L,2,4,,5-17,5,8.5,Buehler,Cannon,Slaten,2:14,D,34721,.44,-,
23,Tuesday Apr 22,boxscore,CHW,@,MIN,L,2,4,,5-18,5,9.0,Ober,Martin,Durán,2:31,N,11828,.41,--,
24,Wednesday Apr 23,boxscore,CHW,@,MIN,L,3,6,,5-19,5,9.5,Topa,Leasure,Coulombe,2:55,N,12407,.35,---,
25,Thursday Apr 24,boxscore,CHW,@,MIN,W,3,0,7,6-19,5,9.0,Smith,Paddack,Eisert,2:29,D,12414,.32,+,
26,Friday Apr 25,boxscore,CHW,@,ATH,L,5,6,,6-20,5,9.5,Sterner,Burke,Miller,2:28,N,10283,.36,-,
27,Saturday Apr 26,boxscore,CHW,@,ATH,W,10,3,,7-20,5,10.0,Cannon,Springs,,2:30,D,8832,.30,+,
28,Sunday Apr 27,boxscore,CHW,@,ATH,L-wo,2,3,10,7-21,5,11.0,Holman,Leasure,,2:26,D,9127,.34,-,
