Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Tuesday May 13,boxscore,CHC,,MIA,W-wo,5,4,,25-18,1,up 1.5,Flexen,Tinoco,,2:42,N,38083,1.13,++,
44,Wednesday May 14,boxscore,CHC,,MIA,L,1,3,,25-19,1,up 1.0,Weathers,Taillon,Tinoco,2:11,N,34167,1.19,-,
45,Friday May 16,boxscore,CHC,,CHW,W,13,3,,26-19,1,up 1.0,Horton,Smith,,2:52,D,40171,1.16,+,
46,Saturday May 17,boxscore,CHC,,CHW,W,7,3,,27-19,1,up 1.0,Boyd,Burke,,2:51,D,40134,1.16,++,
47,Sunday May 18,boxscore,CHC,,CHW,W,6,2,,28-19,1,up 2.0,Pomeranz,Cannon,,2:38,D,40152,1.22,+++,
48,Monday May 19,preview,CHC,@,MIA,6:40 pm,6:40 pm,6:40 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
49,Tuesday May 20,preview,CHC,@,MIA,6:40 pm,6:40 pm,6:40 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
50,Wednesday May 21,preview,CHC,@,MIA,1:10 pm,1:10 pm,1:10 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
51,Friday May 23,preview,CHC,@,CIN,6:40 pm,6:40 pm,6:40 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
52,Saturday May 24,preview,CHC,@,CIN,4:10 pm,4:10 pm,4:10 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
53,Sunday May 25,preview,CHC,@,CIN,1:40 pm,1:40 pm,1:40 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
54,Monday May 26,preview,CHC,,COL,2:20 pm,2:20 pm,2:20 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
55,Tuesday May 27,preview,CHC,,COL,8:05 pm,8:05 pm,8:05 pm,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,Game Preview and Matchups,,,
